cand_id,demand_score,selected,p_off,p_mid,p_peak,profit,consumer_cost,rerouting
C00420,0.08464163822525599,True,0.0501102109149113,0.05000856148461677,0.05007040233089527,-7.250922525196342,5.190437570370658,0.0
C00423,0.6013651877133106,True,0.05023631349486868,0.050568407075479604,0.05085851302401509,-51.12397362043549,37.216696326460024,0.0
C00499,0.07781569965870308,True,0.05007926280084225,0.05141501162737194,0.0514265095401428,-6.572091505820655,4.85317937312572,0.0
C00514,0.4,True,0.05077742822058104,0.05005157959182975,0.05051823367211333,-34.06126430099066,24.706401903380765,0.0
C00517,0.4,True,0.050102866163934154,0.05399342007164709,0.050521769393473706,-33.48431084750417,25.204855817398503,0.0
C00524,0.4,True,0.050297686371872916,0.056944707147772125,0.05022632886589977,-32.985220323490026,25.635530339256896,0.0
C00534,0.07918088737201366,True,0.050201157758981235,0.0500044937684155,0.050197701535703035,-6.7756051273488245,4.862069045129554,0.0
C00537,0.4,True,0.05028716633235241,0.08006776834769297,0.05000759583116071,-29.096541899134706,28.974757368596343,0.0
C00582,0.4,True,0.051432761547118885,0.050167270803786114,0.05930491527081494,-32.38392173508895,26.15435952198977,0.0
C00596,0.1037542662116041,True,0.05172800209013649,0.050107018248215326,0.050763123712027,-8.777605322779335,6.458097698558918,0.0
